Country Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,24900,27000,24800,21200,21500,16600,14300,14800,14100,12500,13700,18300,20700,19200,20100,25300,26300,29000,35300,36000,40100,36600,48200,58600,68800,77800,93700,109300,119100,92500,87945,82942,78187,82789,86140,93003,94770,101008,108565,97473,108840,123739,125120,127631,124480,116532,116238,124316,134661
China,,,,,21200,26600,27700,28800,34000,63000,51000,57300,69800,74000,92500,102200,127900,159700,176900,159200,196000,190300,200300,261600,325900,397600,493000,470200,510500,547800,572921,840911,932064,946354,1209900,1349269,1542564,1753550,1853088,2140124,2377789,2538667,2779741,3073450,3356756,3616026,3952098,4359033,4692008
Cote d'Ivoire,4300,3900,3800,4000,4000,4600,4900,4900,5100,5200,5600,10300,10400,10400,10700,6100,6100,6700,7100,5600,5400,4900,5000,4600,4300,4400,4600,3500,3500,6300,2342,716,,,,,,,,,5604,907,415,3912,4032,9068,9463,14884,15188
Cameroon,3800,2800,2300,4000,0,3700,0,7200,6500,10000,8300,8400,8500,8200,8100,8200,6100,6200,6200,9700,7100,7000,4100,4100,4200,3800,3800,6500,6600,5400,5580,10103,4720,9524,10337,10696,10925,11650,9471,9501,0,3036,4938,5640,5640,5499,8212,5640,5550
"Congo, Dem. Rep.",8300,7900,8100,8900,12000,19200,18600,15800,14100,13600,11800,12200,9200,7400,7600,3900,5000,5200,4500,4800,5100,3500,3000,2600,3900,,,,,,,5200,,,,,,,,,1945,2295,4781,11448,11580,12476,11513,18757,18612.19624
"Congo, Rep.",3700,3700,3400,3600,3600,3800,4000,4000,4300,4400,4300,5300,5600,6100,6000,6400,6700,4400,4500,4700,4100,4800,4700,4900,4900,6300,5400,10200,10300,6000,6257,5235,4505,4783,,,,,,,3755.333633,4817,7011,12132,10380,11462,10604,8439,8439
Colombia,145800,125200,115400,103300,75700,70300,69200,63500,69300,70100,65500,69400,157900,158800,133300,124100,123900,118200,118600,127000,116900,124500,147100,167200,181500,193700,195200,224800,234700,208600,199370,190465,179994,171933,153204,162095,175006,185872,187382,196298,226094,237570.829,254059.929,304365.908,349864.363,368947,366188,355039,358847
Comoros,,,,,,,,,,,,,,,1100,1200,1000,1000,1000,1000,1000,1000,1000,1000,1000,1100,1100,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,1500,1500,1500,1500,1600,2400,4800,7300,7600,8100,6100,6700,6700,6700,6700,6600,6800,6800,6800,7100,7400,14600,14800,12100,13010,8745,8735,9434,16612,19905,19862,21086,12236,11560,10363,10658.07129,10555.22865,8148,7728,7989,8745,4868,1546
